,ME0,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME15
LC.HOP.92,0.122217165,0.07117355,-0.005883675,0.092436946,0.078605059,0.097134932,0.126990934,0.099485931,-0.0746361,-0.006477604,0.096530443,0.06459511,-0.062164995,0.047480005,-0.148602082,-0.236596254
LC.NCI.H226,0.050779863,-0.166777543,0.05302621,-0.03250646,0.084525702,0.088489388,0.111821185,0.192146747,-0.037874767,-0.05608797,-0.215290353,0.071061398,-0.047230765,-0.107912348,0.120692005,-0.005419753
LC.NCI.H23,-0.077297116,0.090687119,0.031667571,0.090963424,0.015347619,0.020026477,0.002277241,-0.006227871,0.006747403,-0.022578062,0.166485938,-0.051316753,0.030116185,0.147894653,-0.109113738,-0.026336804
LC.NCI.H322M,0.033453548,0.03769686,0.015629966,0.019424547,0.083832746,-0.049396119,0.131886871,-0.042883462,0.236118357,-0.067005291,0.074092562,-0.144365751,-0.092387107,0.068305663,-0.105756989,-0.001053649
LC.NCI.H460,-0.215616996,0.05976332,-0.130942847,0.035772512,-0.068044189,-0.017996034,0.02457783,0.045068246,0.025891,-0.03533164,-0.166272311,-0.02996628,0.1617661,-0.229873706,0.157411095,0.135672382
LC.NCI.H522,-0.169375188,0.013824419,0.071625869,0.04136258,-0.053470675,0.019936373,-0.081247275,-0.025339286,-0.028121798,-0.014846096,-0.022708564,-0.1288009,0.1072692,-0.016473843,0.074428107,-0.243981659
OV.IGROV1,0.041034917,-0.01183053,0.077350045,0.031550813,0.044618299,-0.000733322,0.089807937,-0.054343122,0.114592009,-0.052201913,0.139253694,-0.131444647,-0.133709499,0.127678126,-0.183552459,0.117600096
OV.OVCAR.3,-0.083835407,0.023397543,-0.111682106,0.05108781,0.018662522,-0.003762231,0.102168347,0.001447668,0.169036981,-0.068859721,0.111597399,-0.122149779,-0.118379893,0.032747827,-0.142748369,0.167313741
OV.OVCAR.4,-0.034672743,0.037790604,-0.051359236,0.048643269,0.031780337,0.006157656,0.121130788,0.021858659,0.16281983,-0.035448228,0.076545129,-0.121651262,-0.099644747,0.050240205,-0.087323327,0.108203024
OV.OVCAR.5,-0.160669842,-0.200847684,-0.134793417,-0.0485755,0.029210416,-0.015114768,0.106362125,-0.016085819,0.080383637,-0.032602871,-0.286295763,-0.103412795,-0.07339231,-0.233244888,0.31432106,-0.152385331
OV.OVCAR.8,-0.157305472,0.101235572,-0.063496623,0.103283232,0.006882522,0.082262116,0.090283859,0.127941892,0.015451483,-0.072016475,0.120064415,-0.048325161,0.036828584,0.000794817,-0.052174617,0.101323563
OV.SK.OV.3,0.16158417,-0.01650171,0.043379548,0.05535137,0.119422474,0.065438474,0.156664108,0.102404145,0.053211731,-0.057031329,0.166325899,-0.053510102,-0.253860648,0.160653938,-0.258380704,0.080485998
OV.NCI.ADR.RES,-0.126067625,0.044014256,0.118263546,0.027359094,-0.004248901,0.060594169,0.063308258,0.105233779,0.03080086,-0.043592369,-0.017154862,-0.044850982,0.00059771,-0.065788581,0.008444296,-0.207326325
PR.PC.3,0.178171356,0.00388552,0.087324065,0.061177037,0.115891397,0.053135771,0.107590062,0.050203413,0.029901498,0.000876561,0.091200737,0.046680541,-0.000293932,0.125549837,-0.116718934,-0.113628745
PR.DU.145,-0.190346459,0.057275211,-0.15041144,0.063604493,-0.020846445,0.001939594,0.110973518,0.038805329,0.09740253,-0.036483647,0.034906219,-0.0873134,0.056613774,-0.057866531,0.005401526,0.105860809
RE.786.0,0.03926427,0.039032876,-0.049762123,0.077452883,0.087310231,0.09357334,0.138921566,0.140243392,-0.05261248,-0.06905847,0.055395072,0.048299959,0.125067233,0.075919008,0.059230854,0.078483932
RE.A498,-0.038564241,-0.024752677,-0.140988413,0.088898132,0.053114626,0.07592289,0.149214637,0.129414867,0.025249933,-0.043916808,-0.051398628,0.030633091,0.068059699,-0.084036019,-0.005436202,0.163541246
RE.ACHN,-0.062223977,-0.005749418,0.008153825,0.037330403,0.065898188,0.096416357,0.127820888,0.132896185,0.047746421,-0.034267141,-0.071450985,-0.041180253,0.092542512,0.008805178,0.157420295,0.035808609
RE.CAKI.1,0.018256743,-0.015438209,-0.04410242,0.076522884,0.091397868,0.105472136,0.153839218,0.160086156,0.01598873,-0.05351215,0.026396313,-0.022762278,0.005435422,-0.001302805,-0.027980048,0.04303892
RE.RXF.393,0.18567627,0.010741382,0.025370172,0.105704352,0.117638009,0.140523721,0.118481137,0.184604796,-0.061452608,-0.017809218,0.098109112,0.088556629,-0.052140668,0.119580036,-0.119284613,-0.18300931
RE.SN12C,-0.089578234,0.021184936,-0.06105006,0.051338218,0.027055255,0.076321509,0.061112432,0.12658141,-0.108199921,-0.11748227,0.080177341,0.064635056,-0.055425098,0.013053175,-0.11397821,0.049798965
RE.TK.10,0.008254827,0.027959617,0.009925877,0.058962257,0.085540388,0.066854185,0.142691755,0.080854544,0.065128348,-0.067583743,0.076829267,-0.043608735,-0.015579649,0.090061137,-0.030874399,0.01609004
RE.UO.31,0.176440909,-0.027681029,0.065368174,0.075109119,0.136255122,0.129632453,0.168541876,0.174465698,0.015844867,-0.006393385,0.08746627,0.036001226,-0.147845909,0.11863134,-0.197803819,-0.069497377
